Country_Region,Last_Update,"Confirmed Infected Cases Past 24 h","Prediction Infected Cases Next 24 h"
Bangladesh,"18/06/2020 8:30 AM",98489,102640
Belarus,"18/06/2020 8:30 AM",56032,56705
Brazil,"18/06/2020 8:30 AM",960309,992855
Canada,"18/06/2020 8:30 AM",99853,100220
Chile,"18/06/2020 8:30 AM",184449,189545
Colombia,"18/06/2020 8:30 AM",57046,59256
Ecuador,"18/06/2020 8:30 AM",48490,49037
Egypt,"18/06/2020 8:30 AM",49219,50610
Germany,"18/06/2020 8:30 AM",190179,192001
India,"18/06/2020 8:30 AM",367264,380750
Indonesia,"18/06/2020 8:30 AM",41431,42482
Iran,"18/06/2020 8:30 AM",195051,197678
Italy,"18/06/2020 8:30 AM",237828,238155
Kuwait,"18/06/2020 8:30 AM",37533,38082
Mexico,"18/06/2020 8:30 AM",154863,159564
Pakistan,"18/06/2020 8:30 AM",154760,160838
Peru,"18/06/2020 8:30 AM",240908,244620
Qatar,"18/06/2020 8:30 AM",83174,84235
Russia,"18/06/2020 8:30 AM",553301,561075
"Saudi Arabia","18/06/2020 8:30 AM",141234,146292
Singapore,"18/06/2020 8:30 AM",41216,41452
"South Africa","18/06/2020 8:30 AM",80412,84698
Spain,"18/06/2020 8:30 AM",291763,292104
Sweden,"18/06/2020 8:30 AM",54562,55841
Turkey,"18/06/2020 8:30 AM",182727,184171
UAE,"18/06/2020 8:30 AM",43364,43732
UK,"18/06/2020 8:30 AM",299251,300320
USA,"18/06/2020 8:30 AM",2234471,22600693
Worldwide,"18/06/2020 8:30 AM",8393096,8537311
